"alert_signature","occurrences"
"GPL INFO VNC server response",320830
"ET EXPLOIT [PTsecurity] DoublePulsar Backdoor installation communication",21197
"ET DROP Dshield Block Listed Source group 1",9022
"ET INFO HTTP Request on Unusual Port Possibly Hostile",6596
"ET SCAN MS Terminal Server Traffic on Non-standard Port",4458
"ET INFO SSH session in progress on Expected Port",4016
"ET INFO Inbound HTTP CONNECT Attempt on Off-Port",3183
"SURICATA STREAM ESTABLISHED packet out of window",2158
"SURICATA STREAM Packet with invalid ack",1892
"ET SCAN NMAP -sS window 1024",1814
"SURICATA STREAM ESTABLISHED ack for ZWP data",1795
"SURICATA STREAM ESTABLISHED invalid ack",1795
"SURICATA STREAM FIN recv but no session",1663
"ET INFO SSH session in progress on Unusual Port",1607
"SURICATA SSH invalid banner",1555
"ET HUNTING RDP Authentication Bypass Attempt",1417
"ET WEB_SPECIFIC_APPS React Server Components React2Shell Unsafe Flight Protocol Property Access (CVE-2025-55182)",1386
"ET HUNTING Javascript Prototype Pollution Attempt via __proto__ in HTTP Body",1386
"ET DROP Spamhaus DROP Listed Traffic Inbound group 35",1250
"SURICATA STREAM Packet with broken ack",1240
"SURICATA STREAM reassembly depth reached",1181
"SURICATA STREAM RST recv but no session",1135
"SURICATA STREAM spurious retransmission",996
"ET WEB_SERVER /etc/passwd Detected in URI",875
"ET INFO User-Agent (python-requests) Inbound to Webserver",700
"SURICATA Applayer Detect protocol only one direction",696
"ET INFO SSH-2.0-Go version string Observed in Network Traffic",691
"SURICATA TLS invalid record type",680
"ET INFO Reserved Internal IP Traffic",626
"SURICATA Applayer Mismatch protocol both directions",597
"ET INFO CURL User Agent",561
"ET INFO NetBIOS nbtstat Type Query Inbound",527
"ET DROP Spamhaus DROP Listed Traffic Inbound group 7",441
"ET SCAN Suspicious inbound to PostgreSQL port 5432",416
"ET CINS Active Threat Intelligence Poor Reputation IP group 47",366
"SURICATA TCPv4 invalid checksum",358
"ET CINS Active Threat Intelligence Poor Reputation IP group 199",343
"ET CINS Active Threat Intelligence Poor Reputation IP group 46",340
"ET CINS Active Threat Intelligence Poor Reputation IP group 44",336
"ET DROP Spamhaus DROP Listed Traffic Inbound group 54",332
"ET CINS Active Threat Intelligence Poor Reputation IP group 219",328
"ET CINS Active Threat Intelligence Poor Reputation IP group 213",324
"ET CINS Active Threat Intelligence Poor Reputation IP group 290",321
"ET HUNTING ZIP file exfiltration over raw TCP",319
"ET CINS Active Threat Intelligence Poor Reputation IP group 197",318
"ET CINS Active Threat Intelligence Poor Reputation IP group 217",317
"SURICATA HTTP Response excessive header repetition",316
"ET CINS Active Threat Intelligence Poor Reputation IP group 51",315
"ET DROP Spamhaus DROP Listed Traffic Inbound group 4",314
"ET CINS Active Threat Intelligence Poor Reputation IP group 218",309
"ET CINS Active Threat Intelligence Poor Reputation IP group 220",302
"ET CINS Active Threat Intelligence Poor Reputation IP group 119",294
"GPL SNMP request udp",290
"ET CINS Active Threat Intelligence Poor Reputation IP group 198",286
"ET CINS Active Threat Intelligence Poor Reputation IP group 200",283
"ET CINS Active Threat Intelligence Poor Reputation IP group 258",281
"ET CINS Active Threat Intelligence Poor Reputation IP group 277",279
"ET CINS Active Threat Intelligence Poor Reputation IP group 216",277
"ET CINS Active Threat Intelligence Poor Reputation IP group 136",277
"SURICATA STREAM FIN out of window",271
"ET CINS Active Threat Intelligence Poor Reputation IP group 45",269
"ET CINS Active Threat Intelligence Poor Reputation IP group 49",269
"ET CINS Active Threat Intelligence Poor Reputation IP group 133",267
"SURICATA STREAM FIN invalid ack",264
"ET CINS Active Threat Intelligence Poor Reputation IP group 50",264
"ET CINS Active Threat Intelligence Poor Reputation IP group 214",264
"ET CINS Active Threat Intelligence Poor Reputation IP group 215",264
"ET CINS Active Threat Intelligence Poor Reputation IP group 278",253
"ET SCAN Suspicious inbound to MSSQL port 1433",252
"ET CINS Active Threat Intelligence Poor Reputation IP group 129",248
"ET CINS Active Threat Intelligence Poor Reputation IP group 276",243
"ET CINS Active Threat Intelligence Poor Reputation IP group 140",240
"ET CINS Active Threat Intelligence Poor Reputation IP group 48",239
"ET CINS Active Threat Intelligence Poor Reputation IP group 291",237
"ET SCAN Suspicious inbound to mySQL port 3306",234
"ET CINS Active Threat Intelligence Poor Reputation IP group 118",234
"GPL SNMP public access udp",232
"ET CINS Active Threat Intelligence Poor Reputation IP group 138",231
"ET CINS Active Threat Intelligence Poor Reputation IP group 137",227
"ET CINS Active Threat Intelligence Poor Reputation IP group 139",222
"SURICATA STREAM SHUTDOWN RST invalid ack",208
"ET CINS Active Threat Intelligence Poor Reputation IP group 116",205
"GPL INFO SOCKS Proxy attempt",202
"ET CINS Active Threat Intelligence Poor Reputation IP group 16",201
"ET CINS Active Threat Intelligence Poor Reputation IP group 135",199
"ET CINS Active Threat Intelligence Poor Reputation IP group 3",193
"ET CINS Active Threat Intelligence Poor Reputation IP group 124",190
"SURICATA STREAM Packet with invalid timestamp",188
"ET CINS Active Threat Intelligence Poor Reputation IP group 2",174
"GPL FTP FTP anonymous login attempt",172
"ET CINS Active Threat Intelligence Poor Reputation IP group 194",168
"ET SCAN Zmap User-Agent (Inbound)",161
"ET CINS Active Threat Intelligence Poor Reputation IP group 134",159
"ET DROP Spamhaus DROP Listed Traffic Inbound group 13",156
"ET DROP Spamhaus DROP Listed Traffic Inbound group 10",146
"ET CINS Active Threat Intelligence Poor Reputation IP group 130",146
"ET CINS Active Threat Intelligence Poor Reputation IP group 156",145
"ET DROP Spamhaus DROP Listed Traffic Inbound group 64",140
"ET CINS Active Threat Intelligence Poor Reputation IP group 196",137
"ET CINS Active Threat Intelligence Poor Reputation IP group 195",135
"SURICATA STREAM FIN2 ack with wrong seq",130
"ET CINS Active Threat Intelligence Poor Reputation IP group 126",130
"ET INFO Go-http-client User-Agent Observed Inbound",126
"ET CINS Active Threat Intelligence Poor Reputation IP group 132",121
"ET DROP Spamhaus DROP Listed Traffic Inbound group 42",120
"ET CINS Active Threat Intelligence Poor Reputation IP group 17",117
"ET WEB_SPECIFIC_APPS Shenzhen TVT NVMS-9000 Information Disclosure Attempt (CVE-2024-14007)",116
"ET CINS Active Threat Intelligence Poor Reputation IP group 282",114
"ET CINS Active Threat Intelligence Poor Reputation IP group 142",113
"ET CINS Active Threat Intelligence Poor Reputation IP group 279",112
"SURICATA HTTP unable to match response to request",108
"ET CINS Active Threat Intelligence Poor Reputation IP group 242",104
"SURICATA HTTP Request excessive header repetition",103
"ET CINS Active Threat Intelligence Poor Reputation IP group 192",102
"ET CINS Active Threat Intelligence Poor Reputation IP group 281",102
"ET CINS Active Threat Intelligence Poor Reputation IP group 38",101
"ET CINS Active Threat Intelligence Poor Reputation IP group 52",100
"ET DROP Spamhaus DROP Listed Traffic Inbound group 15",100
"ET CINS Active Threat Intelligence Poor Reputation IP group 285",99
"ET CINS Active Threat Intelligence Poor Reputation IP group 286",97
"ET SCAN Suspicious inbound to Oracle SQL port 1521",94
"ET CINS Active Threat Intelligence Poor Reputation IP group 131",94
"ET CINS Active Threat Intelligence Poor Reputation IP group 229",94
"ET INFO Potentially unsafe SMBv1 protocol in use",94
"ET HUNTING Mozilla User-Agent (Mozilla/5.0) Inbound Likely Fake",93
"ET DROP Spamhaus DROP Listed Traffic Inbound group 25",91
"GPL NETBIOS SMB-DS IPC$ unicode share access",91
"ET CINS Active Threat Intelligence Poor Reputation IP group 65",90
"SURICATA STREAM FIN2 invalid ack",86
"ET CINS Active Threat Intelligence Poor Reputation IP group 109",85
"ET DROP Spamhaus DROP Listed Traffic Inbound group 11",84
"ET CINS Active Threat Intelligence Poor Reputation IP group 69",83
"ET CINS Active Threat Intelligence Poor Reputation IP group 110",83
"ET CINS Active Threat Intelligence Poor Reputation IP group 230",82
"ET CINS Active Threat Intelligence Poor Reputation IP group 68",81
"SURICATA STREAM CLOSEWAIT FIN out of window",81
"ET DROP Spamhaus DROP Listed Traffic Inbound group 3",81
"ET CINS Active Threat Intelligence Poor Reputation IP group 128",80
"ET CINS Active Threat Intelligence Poor Reputation IP group 193",79
